sl_no,road_name,status,origin,destination,distance_km,points_count,path_coordinates
1,Chandiapadar Gandala road,NO_ENDPOINTS,,,,,
2,Nagardhia Jn to Hugulapata Balajipalli road,OK,Nagardhia Jn,Hugulapata Balajipalli road,18.964,331,84.752180 19.392570;84.752140 19.392780;84.752220 19.392770;84.752410 19.392820;84.752620 19.392900;84.752730 19.392650;84.752900 19.392260;84.753490 19.390850;84.753850 19.390000;84.754080 19.389440;84.754180 19.389110;84.754300 19.388660;84.754710 19.387280;84.754830 19.386760;84.754860 19.386480;84.754900 19.385500;84.754930 19.385080;84.754990 19.384770;84.755370 19.383420;84.755520 19.383010;84.755790 19.382560;84.756150 19.382010;84.757250 19.380230;84.758620 19.377960;84.761060 19.373960;84.761230 19.373690;84.761360 19.373840;84.761440 19.373980;84.761650 19.374620;84.761830 19.374940;84.761970 19.375140;84.762260 19.375410;84.763750 19.376470;84.765040 19.377180;84.766020 19.377770;84.766180 19.377900;84.766350 19.378100;84.766520 19.378320;84.766620 19.378450;84.766830 19.378850;84.767070 19.379180;84.767360 19.379470;84.767560 19.379630;84.767740 19.379720;84.768050 19.379800;84.768310 19.379850;84.769070 19.380000;84.769730 19.380100;84.770380 19.380160;84.770890 19.380260;84.771430 19.380420;84.771640 19.380530;84.772560 19.381130;84.773550 19.381680;84.774120 19.382040;84.774320 19.382210;84.774430 19.382340;84.774580 19.382580;84.774640 19.382630;84.775500 19.382940;84.776010 19.383070;84.776180 19.383140;84.777330 19.383640;84.777450 19.383710;84.777560 19.383840;84.778280 19.384670;84.778420 19.384800;84.778970 19.385140;84.779270 19.385330;84.779570 19.385620;84.780100 19.386230;84.780320 19.386430;84.780610 19.386780;84.780680 19.386920;84.780740 19.387160;84.780730 19.387270;84.780450 19.387870;84.780250 19.388210;84.780170 19.388450;84.780070 19.388940;84.780030 19.389200;84.780030 19.389470;84.780100 19.390490;84.780180 19.391400;84.780300 19.392600;84.780360 19.392860;84.780520 19.393330;84.780600 19.393600;84.780730 19.393930;84.780830 19.394110;84.780980 19.394300;84.781130 19.394440;84.781900 19.395130;84.782270 19.395450;84.782430 19.395620;84.782600 19.395850;84.782750 19.396100;84.783070 19.396820;84.783290 19.397350;84.783570 19.398360;84.783760 19.399030;84.784060 19.399720;84.784240 19.400110;84.784390 19.400320;84.784780 19.400770;84.785280 19.401330;84.785410 19.401490;84.785770 19.402100;84.785940 19.402400;84.786150 19.402890;84.786230 19.403120;84.786260 19.403270;84.786200 19.404820;84.786150 19.406190;84.786090 19.407780;84.786090 19.407960;84.786160 19.408420;84.786170 19.408460;84.786190 19.408470;84.786230 19.408450;84.786360 19.408350;84.786980 19.407730;84.787820 19.407140;84.789060 19.406130;84.789820 19.405500;84.789980 19.405300;84.790150 19.405200;84.790570 19.405060;84.790890 19.404980;84.791110 19.404970;84.791410 19.405040;84.791690 19.405140;84.791840 19.405170;84.792030 19.405160;84.792250 19.405100;84.792480 19.404990;84.792760 19.404860;84.792920 19.404800;84.793100 19.404740;84.793760 19.404650;84.794340 19.404600;84.794630 19.404590;84.794740 19.404640;84.794780 19.404670;84.794650 19.404970;84.794520 19.405280;84.794450 19.405490;84.794420 19.405710;84.794440 19.405810;84.794510 19.406110;84.794530 19.406270;84.794520 19.406500;84.794530 19.406740;84.794570 19.407050;84.794620 19.407330;84.794720 19.407790;84.794770 19.408000;84.794890 19.408300;84.794960 19.408490;84.795020 19.408750;84.795050 19.409460;84.795070 19.409800;84.795440 19.411610;84.795680 19.412640;84.795740 19.413000;84.795760 19.413360;84.795760 19.413890;84.795780 19.414810;84.795830 19.414970;84.795880 19.415020;84.795970 19.415060;84.796650 19.415300;84.797140 19.415410;84.797810 19.415540;84.798080 19.415580;84.798300 19.415560;84.798820 19.415460;84.799120 19.415370;84.799710 19.415120;84.799980 19.415040;84.800260 19.415010;84.801510 19.414840;84.802680 19.414570;84.803750 19.414390;84.804030 19.414340;84.805390 19.414150;84.805930 19.414040;84.806410 19.413910;84.807390 19.413600;84.808400 19.413240;84.808580 19.413190;84.809690 19.412870;84.811250 19.412330;84.811570 19.412240;84.811700 19.412230;84.812270 19.412210;84.813160 19.412250;84.813910 19.411980;84.816120 19.410890;84.816880 19.410450;84.817230 19.410340;84.818380 19.410030;84.818840 19.409880;84.819120 19.409790;84.819510 19.409690;84.819640 19.409620;84.819750 19.409520;84.820170 19.409040;84.820420 19.408830;84.820560 19.408740;84.821460 19.408360;84.822380 19.408020;84.822580 19.407940;84.822900 19.407850;84.823560 19.407830;84.824030 19.407850;84.824200 19.407830;84.824330 19.407790;84.824430 19.407720;84.824640 19.407490;84.824960 19.407100;84.825470 19.406430;84.824880 19.406080;84.824480 19.405670;84.824240 19.405410;84.824170 19.405290;84.824110 19.405120;84.823910 19.404430;84.823740 19.403700;84.823550 19.403080;84.823450 19.402810;84.823110 19.402180;84.823030 19.402010;84.822980 19.401830;84.822880 19.401110;84.822830 19.400670;84.822870 19.400390;84.822910 19.400260;84.822940 19.399850;84.822960 19.399580;84.823020 19.399370;84.823160 19.398980;84.823560 19.398020;84.823750 19.397530;84.823810 19.397340;84.823810 19.397250;84.823780 19.397110;84.823670 19.396820;84.823400 19.396470;84.823170 19.396310;84.822930 19.396210;84.822520 19.396080;84.822210 19.395960;84.822130 19.395890;84.822010 19.395720;84.822010 19.395430;84.822070 19.394590;84.822180 19.393030;84.822330 19.391160;84.822540 19.389120;84.822830 19.387230;84.823040 19.386300;84.823180 19.386020;84.824050 19.384920;84.824570 19.384260;84.824640 19.384140;84.824910 19.384080;84.825540 19.383870;84.825860 19.383780;84.826100 19.383790;84.826290 19.383830;84.826620 19.383940;84.826850 19.384020;84.827470 19.384390;84.828130 19.384760;84.828800 19.385120;84.829190 19.385400;84.829710 19.386060;84.829840 19.386220;84.829980 19.386320;84.830400 19.386470;84.831000 19.386670;84.831310 19.386770;84.831460 19.386750;84.831740 19.386650;84.831820 19.386620;84.832630 19.386390;84.833580 19.386070;84.833970 19.385890;84.834510 19.385710;84.835420 19.385450;84.836190 19.385120;84.836590 19.384930;84.837050 19.384700;84.838060 19.384230;84.838310 19.384420;84.838930 19.384870;84.839090 19.385000;84.839680 19.385480;84.840250 19.385960;84.840950 19.386500;84.841630 19.387030;84.841710 19.387010;84.842080 19.387040;84.842750 19.387100;84.843420 19.387070;84.843730 19.387040;84.843950 19.386960;84.844120 19.386840;84.844270 19.386650;84.844600 19.386160;84.844960 19.385830;84.845220 19.385560;84.845300 19.385430;84.845390 19.385190;84.845570 19.384770;84.845700 19.384200;84.845780 19.383890;84.845920 19.383630;84.845970 19.383350;84.845980 19.383140;84.845960 19.382810;84.845940 19.382680;84.846450 19.382680;84.846640 19.382690;84.846740 19.382670;84.846770 19.382620;84.846770 19.382550;84.846780 19.382500;84.846850 19.382460;84.847030 19.382450
3,PWD road to Gurunthi Bankipalli road,OK,PWD road,Gurunthi Bankipalli road,0.0,1,84.925150 19.507000
4,Nimakhandi Mohantysahi RD road to Brahman Sahi Khandia Sahi Sana Sahi M.Patapur B.K Ch. Pur Rushikulya Nagar Kalua Nagar Bauri Sahi Chanakya Nagar Manjari Nagar road,OK,Nimakhandi Mohantysahi RD road,Brahman Sahi Khandia Sahi Sana Sahi M.Patapur B.K Ch. Pur Rushikulya Nagar Kalua Nagar Bauri Sahi Chanakya Nagar Manjari Nagar road,35.064,350,84.796830 19.342980;84.796730 19.343050;84.796810 19.343490;84.796910 19.343610;84.797820 19.344140;84.798130 19.344760;84.798530 19.345220;84.799790 19.345890;84.800040 19.345990;84.800290 19.345940;84.801160 19.346070;84.802160 19.346740;84.803070 19.347970;84.803630 19.348730;84.803790 19.349100;84.804520 19.350170;84.805170 19.351190;84.805420 19.351360;84.805710 19.351560;84.805800 19.353350;84.806020 19.354420;84.806140 19.355490;84.806180 19.355970;84.805100 19.356940;84.804450 19.357650;84.803950 19.358200;84.803890 19.358300;84.803430 19.358560;84.803230 19.358890;84.802930 19.359700;84.801990 19.361530;84.801430 19.362170;84.800000 19.363680;84.797380 19.367250;84.796620 19.368500;84.795130 19.370960;84.794080 19.372810;84.792570 19.375750;84.792280 19.376300;84.792290 19.376510;84.792090 19.376670;84.791560 19.376910;84.790390 19.377470;84.789290 19.378110;84.788730 19.378790;84.788480 19.379350;84.788260 19.379850;84.787400 19.381600;84.787370 19.381730;84.787590 19.381880;84.787050 19.383400;84.786420 19.384840;84.785880 19.386010;84.785280 19.387460;84.784940 19.388150;84.784610 19.388530;84.783860 19.389050;84.783140 19.389250;84.782450 19.389330;84.780550 19.389050;84.780070 19.388940;84.780030 19.389470;84.780180 19.391400;84.780360 19.392860;84.780520 19.393330;84.780830 19.394110;84.782430 19.395620;84.783070 19.396820;84.783520 19.398190;84.783760 19.399030;84.784390 19.400320;84.785160 19.401170;84.785770 19.402100;84.786230 19.403120;84.786230 19.404100;84.786130 19.406800;84.786090 19.407960;84.786170 19.408460;84.785520 19.409290;84.784430 19.410450;84.782720 19.411740;84.781600 19.412780;84.780720 19.413660;84.780290 19.413970;84.778730 19.414550;84.776560 19.414670;84.775650 19.414620;84.774450 19.414080;84.773920 19.414050;84.773640 19.414290;84.772900 19.415400;84.771820 19.418330;84.771830 19.418640;84.772100 19.419130;84.772640 19.421300;84.772450 19.421500;84.772340 19.421610;84.771680 19.421910;84.771410 19.422230;84.771370 19.422600;84.771290 19.422660;84.770970 19.422740;84.770750 19.422890;84.769750 19.423020;84.768550 19.423010;84.768020 19.422920;84.767000 19.422550;84.764010 19.421460;84.763160 19.421320;84.759810 19.421170;84.758380 19.421120;84.757280 19.421390;84.753740 19.422340;84.753230 19.422460;84.753240 19.422570;84.752930 19.422660;84.752410 19.422970;84.751060 19.423790;84.750320 19.424270;84.749530 19.424440;84.748480 19.424450;84.747560 19.424370;84.746680 19.424730;84.745450 19.424870;84.743470 19.425190;84.742090 19.425000;84.739700 19.424400;84.738710 19.423720;84.738180 19.423480;84.737270 19.423330;84.736270 19.423170;84.735400 19.423390;84.734210 19.423670;84.732580 19.423860;84.731510 19.424030;84.730480 19.424840;84.730020 19.425280;84.729970 19.425750;84.729400 19.426200;84.728800 19.426540;84.727480 19.427350;84.726890 19.428170;84.726360 19.428510;84.725910 19.428670;84.725450 19.429060;84.724700 19.429360;84.724180 19.429520;84.723630 19.429500;84.723180 19.429360;84.721990 19.429190;84.720630 19.429340;84.718800 19.429570;84.718240 19.429460;84.717980 19.429330;84.717390 19.429260;84.716470 19.429250;84.715630 19.429430;84.714640 19.429840;84.713950 19.430050;84.713670 19.430300;84.713180 19.430950;84.712850 19.431290;84.712290 19.431600;84.711900 19.431880;84.711790 19.432040;84.711550 19.433210;84.711340 19.434200;84.710880 19.435300;84.710650 19.435570;84.710470 19.435840;84.710240 19.435990;84.709560 19.436200;84.707170 19.435930;84.706080 19.435760;84.705590 19.435520;84.704450 19.435420;84.703980 19.435330;84.703510 19.435030;84.703180 19.434730;84.701650 19.434220;84.701100 19.434100;84.699240 19.434400;84.697150 19.434810;84.696520 19.434840;84.696410 19.434330;84.696230 19.433510;84.695710 19.432820;84.695670 19.432260;84.695450 19.431680;84.694970 19.430840;84.694400 19.430030;84.694260 19.429990;84.693270 19.430330;84.692790 19.429770;84.690960 19.430250;84.690410 19.430470;84.690050 19.430340;84.689630 19.430350;84.689100 19.430580;84.688220 19.431280;84.686430 19.432230;84.685100 19.432790;84.684520 19.433100;84.682570 19.433860;84.681740 19.434240;84.680640 19.434580;84.680260 19.434660;84.680150 19.434690;84.679910 19.434400;84.679200 19.433490;84.679020 19.433240;84.678930 19.432830;84.678680 19.431990;84.678310 19.431320;84.677920 19.430920;84.677640 19.430630;84.677320 19.429940;84.676970 19.429360;84.676390 19.428530;84.676050 19.427840;84.675930 19.427460;84.675660 19.427620;84.675270 19.427970;84.674590 19.428640;84.673810 19.429200;84.673440 19.429350;84.672360 19.429760;84.671860 19.430120;84.671760 19.430740;84.671580 19.430910;84.671290 19.430950;84.670800 19.430960;84.669140 19.431290;84.668700 19.431470;84.668540 19.431900;84.668140 19.432100;84.667740 19.432140;84.666590 19.432610;84.666460 19.432930;84.666520 19.433430;84.666380 19.433600;84.665370 19.434050;84.665210 19.434240;84.664470 19.434540;84.664190 19.434380;84.663630 19.433680;84.663390 19.433500;84.663150 19.433480;84.663030 19.433320;84.662880 19.433270;84.662620 19.433380;84.662380 19.433540;84.660550 19.433600;84.660020 19.433630;84.659280 19.434350;84.658480 19.435250;84.657810 19.435800;84.656850 19.437230;84.656030 19.438340;84.655570 19.439480;84.655300 19.440300;84.655060 19.440670;84.654780 19.441220;84.654320 19.443070;84.653470 19.443770;84.652190 19.444570;84.651650 19.444730;84.651280 19.444670;84.649720 19.444880;84.649230 19.444800;84.647560 19.444870;84.646870 19.444950;84.646540 19.445140;84.646160 19.445330;84.645410 19.445700;84.644820 19.445860;84.644630 19.445860;84.644560 19.445700;84.644480 19.445180;84.644410 19.444630;84.643940 19.444640;84.643460 19.444700;84.642800 19.444800;84.641850 19.445020;84.640140 19.445550;84.638810 19.446230;84.638040 19.446700;84.637480 19.446900;84.636370 19.447120;84.635550 19.447370;84.635210 19.447630;84.635090 19.448030;84.634320 19.448310;84.633890 19.448670;84.633450 19.449150;84.633320 19.449430;84.633040 19.450080;84.632910 19.450200;84.632390 19.450400;84.631610 19.450560;84.630630 19.450990;84.629290 19.451420;84.628030 19.451620;84.626600 19.451740;84.624780 19.451710;84.624030 19.451600;84.623270 19.451670;84.622430 19.451760;84.622130 19.451840;84.621790 19.451680;84.621600 19.451590;84.620830 19.451320;84.619400 19.451130;84.617950 19.450880;84.615240 19.450630;84.614070 19.450560;84.613220 19.450280;84.611350 19.449690;84.610680 19.449630;84.609790 19.449620;84.608300 19.450270;84.608080 19.450380;84.608300 19.450870;84.608300 19.451040;84.607670 19.451390;84.606140 19.451620;84.605900 19.451830;84.605860 19.452110;84.605730 19.452630;84.605500 19.452810;84.605170 19.452910;84.605030 19.452990;84.605020 19.453430;84.604450 19.453680;84.603850 19.454010;84.603690 19.454280;84.603600 19.454400;84.603060 19.454560;84.602270 19.454610;84.602140 19.454300;84.599960 19.453920;84.598590 19.453800;84.598120 19.453640;84.596780 19.452290;84.596330 19.450630;84.596060 19.450050;84.595420 19.449090;84.594580 19.448790;84.592050 19.448130;84.592390 19.447460
5,Lochapada PWD road to Saktinagar Via Sri Rama Nagar Mera Sahi Bada Sahi Biswakarma Sahi Ramakrushna Nagar Govinda Nagar road,OK,Lochapada PWD road,Saktinagar Via Sri Rama Nagar Mera Sahi Bada Sahi Biswakarma Sahi Ramakrushna Nagar Govinda Nagar road,39.499,347,84.925150 19.507000;84.923100 19.507760;84.921320 19.508380;84.920720 19.508540;84.918410 19.509020;84.915910 19.509530;84.913630 19.510080;84.911640 19.510600;84.910270 19.510940;84.908550 19.511340;84.908010 19.511500;84.905900 19.512240;84.904650 19.512680;84.903570 19.513060;84.900070 19.514190;84.899810 19.514270;84.898820 19.514610;84.898130 19.514880;84.896980 19.515320;84.895160 19.516010;84.894410 19.516350;84.893870 19.516730;84.892200 19.517990;84.891380 19.518710;84.890680 19.519130;84.890180 19.519380;84.889960 19.519480;84.888730 19.519850;84.887120 19.520360;84.885760 19.520750;84.884760 19.520830;84.883000 19.520850;84.882430 19.520910;84.881870 19.521070;84.880590 19.521310;84.879950 19.521460;84.879680 19.521570;84.879630 19.521450;84.879520 19.521160;84.879450 19.521030;84.879340 19.520950;84.879070 19.520830;84.878870 19.520680;84.878700 19.520360;84.878600 19.520060;84.878450 19.519730;84.878420 19.519260;84.878380 19.518410;84.878380 19.518150;84.878350 19.518130;84.877950 19.518150;84.877340 19.518250;84.877030 19.518260;84.876800 19.518180;84.876700 19.518130;84.876620 19.518040;84.876600 19.517890;84.876620 19.517420;84.876560 19.517300;84.876470 19.517240;84.875700 19.517090;84.875110 19.516970;84.874970 19.516860;84.874870 19.516690;84.874800 19.516470;84.874780 19.516270;84.874790 19.515450;84.874730 19.515200;84.874570 19.514950;84.874410 19.514700;84.874250 19.514370;84.873850 19.513240;84.873670 19.512630;84.873590 19.512470;84.873460 19.512300;84.872560 19.511520;84.871570 19.510780;84.869900 19.509340;84.869360 19.508810;84.869080 19.508580;84.868160 19.508150;84.867210 19.507760;84.866950 19.507690;84.866380 19.507600;84.865650 19.507430;84.865410 19.507320;84.865110 19.507050;84.865040 19.506930;84.864980 19.506740;84.864950 19.506380;84.865080 19.505980;84.865250 19.505640;84.865940 19.504400;84.866910 19.502510;84.867170 19.502080;84.867350 19.501890;84.868170 19.501280;84.868580 19.501030;84.869330 19.500700;84.871570 19.499810;84.872440 19.499490;84.873080 19.499210;84.873450 19.499000;84.873890 19.498670;84.874150 19.498380;84.874360 19.498010;84.874480 19.497730;84.874610 19.497250;84.874730 19.496620;84.875000 19.494860;84.875310 19.493000;84.875550 19.491310;84.875650 19.490740;84.875900 19.489260;84.876170 19.487480;84.876720 19.483580;84.877050 19.480490;84.877180 19.479270;84.877330 19.477990;84.877400 19.477440;84.877450 19.477090;84.877540 19.476860;84.877790 19.476440;84.878340 19.475610;84.879100 19.474490;84.879990 19.473200;84.880480 19.472380;84.881230 19.471250;84.881430 19.470940;84.881480 19.470790;84.881540 19.470430;84.881600 19.469420;84.881690 19.468420;84.881710 19.467310;84.881730 19.466040;84.881730 19.465270;84.881750 19.463640;84.881760 19.460990;84.881760 19.457410;84.881830 19.453810;84.881830 19.452830;84.881790 19.452600;84.881560 19.451780;84.881150 19.450420;84.880510 19.448590;84.879900 19.446820;84.879720 19.446380;84.879610 19.446210;84.879380 19.445950;84.878660 19.445210;84.877730 19.444210;84.876260 19.442660;84.875910 19.442360;84.874920 19.441300;84.874640 19.441020;84.874130 19.440290;84.873850 19.439820;84.872870 19.438150;84.871500 19.435870;84.870410 19.433990;84.869120 19.431810;84.868020 19.429910;84.866770 19.427650;84.865610 19.425680;84.865510 19.425400;84.865500 19.425230;84.865560 19.424780;84.865680 19.424220;84.866450 19.421850;84.867130 19.419700;84.867570 19.418480;84.867940 19.417500;84.868210 19.416490;84.868430 19.415600;84.868750 19.414470;84.869580 19.411600;84.869760 19.411090;84.870170 19.410110;84.870440 19.409360;84.871050 19.407730;84.871700 19.406370;84.872030 19.405760;84.872280 19.405200;84.872700 19.404130;84.873100 19.403010;84.874040 19.400370;84.874720 19.398510;84.875230 19.397160;84.875680 19.396100;84.875910 19.395550;84.876220 19.394600;84.876460 19.393800;84.876770 19.392690;84.876950 19.392030;84.877180 19.391160;84.877630 19.389410;84.878020 19.387830;84.878740 19.385600;84.879000 19.384770;84.879100 19.384290;84.879440 19.383100;84.879760 19.381700;84.879880 19.380610;84.879860 19.378910;84.879860 19.376860;84.879810 19.374040;84.879680 19.371780;84.879590 19.371090;84.879430 19.370290;84.879320 19.369880;84.879140 19.369440;84.878880 19.368920;84.878300 19.367830;84.876960 19.365480;84.875970 19.363730;84.875150 19.362300;84.874580 19.360620;84.873370 19.357240;84.871790 19.352990;84.870350 19.349070;84.869980 19.347870;84.869710 19.346090;84.869620 19.345150;84.869170 19.341140;84.869050 19.340130;84.868850 19.338970;84.868580 19.337510;84.868300 19.335990;84.868120 19.335210;84.867730 19.334000;84.867180 19.332430;84.866660 19.330940;84.866070 19.329300;84.865840 19.328730;84.865600 19.328070;84.865490 19.327760;84.865300 19.326960;84.865130 19.326540;84.865110 19.326390;84.865460 19.326150;84.865590 19.326050;84.865640 19.325670;84.865610 19.325230;84.865570 19.324860;84.865620 19.324480;84.865840 19.323860;84.866640 19.322050;84.866680 19.321980;84.866650 19.321970;84.865990 19.321720;84.864860 19.321290;84.864250 19.320940;84.863650 19.320480;84.861960 19.319000;84.859660 19.316960;84.858160 19.315630;84.856290 19.314440;84.853970 19.312980;84.849930 19.310580;84.846550 19.308460;84.845240 19.307680;84.843590 19.306630;84.842910 19.306140;84.842420 19.305810;84.839050 19.303810;84.837430 19.302860;84.836730 19.302390;84.833810 19.300640;84.833140 19.300250;84.832710 19.300040;84.831930 19.299570;84.831580 19.299380;84.830800 19.298960;84.830030 19.298650;84.829480 19.298490;84.826740 19.297730;84.822400 19.296540;84.820080 19.295890;84.819230 19.295710;84.818450 19.295640;84.815520 19.295370;84.814860 19.295280;84.814260 19.295130;84.813390 19.294780;84.813200 19.294690;84.813150 19.294800;84.813080 19.294930;84.812650 19.295270;84.812450 19.295440;84.812400 19.295520;84.812250 19.296140;84.812150 19.296290;84.811900 19.296490;84.811850 19.296580;84.811750 19.296970;84.811730 19.297180;84.811860 19.297830;84.811830 19.298300;84.811770 19.298660;84.811990 19.298790;84.812170 19.298910;84.812210 19.298960;84.812150 19.299070;84.810910 19.299420;84.810630 19.299530;84.810370 19.299690;84.810060 19.299950;84.809110 19.300700;84.809000 19.300860;84.808960 19.300980;84.808910 19.301530;84.808800 19.302370;84.808400 19.303090;84.808210 19.303350;84.806960 19.304680;84.806520 19.304990;84.806080 19.305160;84.805560 19.305320;84.805350 19.305370;84.804970 19.305330;84.804010 19.305210;84.803280 19.305160;84.801360 19.305080;84.801040 19.305120;84.800990 19.305160;84.799990 19.305760;84.799580 19.305900;84.799040 19.306070;84.797750 19.306590;84.797470 19.306740;84.797400 19.306830;84.797350 19.306990;84.797300 19.307450;84.797310 19.308410;84.797280 19.308720;84.797250 19.308820;84.797860 19.308870;84.798060 19.308890;84.798300 19.308890;84.798370 19.308880;84.798440 19.308940;84.798520 19.309040;84.798770 19.309900;84.798950 19.310520;84.799100 19.311110;84.799030 19.311140;84.798870 19.311180
